assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
30,0.5107,6,81,22,0,34,Thunder Bay,CAN,1984-10-29,ON,2,1,2003,Eric,76,8470595,0,1,Staal,Eric Staal,CAN,C,L,MIN,207,-7,52,0.6419,7,15,20182019,0,1,20.9259,0.1023,215,1087.5185
15,0.4701,2,78,14,0,41,St. Paul,USA,1988-04-16,MN,7,1,2006,Kyle,72,8473449,0,1,Okposo,Kyle Okposo,USA,R,R,BUF,219,-9,29,0.3717,7,11,20182019,0,0,17.4487,0.0952,147,827.1153
67,0.0,6,82,16,2,34,Barrie,CAN,1985-03-09,ON,20,1,2003,Brent,77,8470613,0,1,Burns,Brent Burns,CAN,D,R,SJS,230,13,83,1.0121,7,28,20182019,1,5,26.8292,0.0533,300,1505.9512
6,0.5105,4,73,18,0,38,Hingham,USA,1984-12-18,MA,26,1,2003,Brian,78,8470619,0,1,Boyle,Brian Boyle,USA,C,L,"NJD, NSH",245,-14,24,0.3287,7,9,20182019,1,2,17.1917,0.1463,123,806.1369
27,0.3076,1,78,15,0,35,Cherry Hill,USA,1987-03-17,NJ,2,1,2005,Bobby,74,8471676,0,1,Ryan,Bobby Ryan,USA,R,R,OTT,209,-29,42,0.5384,7,16,20182019,0,0,20.0384,0.0937,160,940.9358
34,0.5366,3,82,27,2,33,London,CAN,1995-04-05,ON,9,1,2013,Bo,72,8477500,0,1,Horvat,Bo Horvat,CAN,C,L,VAN,215,-4,61,0.7439,7,18,20182019,2,3,27.0365,0.1189,227,1250.1341
41,0.545,4,76,32,4,75,Waterford,USA,1996-07-30,MI,15,1,2014,Dylan,73,8477946,0,1,Larkin,Dylan Larkin,USA,C,L,DET,198,-6,73,0.9605,7,15,20182019,2,3,25.9605,0.1114,287,1310.5263
43,0.375,7,70,29,1,54,Nizhny Tagil,RUS,1986-07-05,,15,1,2004,Alexander,73,8471228,0,1,Radulov,Alexander Radulov,RUS,R,L,DAL,205,22,72,1.0285,7,23,20182019,0,0,25.2571,0.1387,209,1186.9714
17,0.28,1,64,21,0,13,Cherepovets,RUS,1995-04-17,,75,3,2013,Pavel,75,8477402,0,1,Buchnevich,Pavel Buchnevich,RUS,R,L,NYR,196,-10,38,0.5937,7,12,20182019,0,0,19.2968,0.1764,119,910.4843
37,0.0,1,82,8,1,44,London,CAN,1989-12-08,ON,2,1,2008,Drew,73,8474563,0,1,Doughty,Drew Doughty,CAN,D,R,LAK,202,-34,45,0.5487,7,24,20182019,0,1,29.1829,0.0519,154,1595.7073
21,0.1538,5,81,21,1,28,Newport Beach,USA,1992-01-16,CA,59,2,2010,Jason,71,8475722,0,1,Zucker,Jason Zucker,USA,L,L,MIN,183,-9,42,0.5185,7,14,20182019,0,0,20.1851,0.0981,214,1024.7777
23,0.4545,1,57,23,0,46,Sherbrooke,CAN,1988-05-28,QC,26,1,2007,David,72,8474102,0,1,Perron,David Perron,CAN,L,R,STL,200,3,46,0.807,7,14,20182019,0,0,20.8596,0.2053,112,1025.7192
53,0.0,2,82,9,0,50,Boston,USA,1986-09-09,MA,105,4,2005,Keith,73,8471735,0,1,Yandle,Keith Yandle,USA,D,L,FLA,191,-17,62,0.756,7,39,20182019,0,0,28.0975,0.0452,199,1346.6097
52,0.4864,5,80,22,1,30,Gävle,SWE,1987-11-23,,4,1,2006,Nicklas,73,8473563,0,1,Backstrom,Nicklas Backstrom,SWE,C,L,WSH,210,2,74,0.925,7,25,20182019,0,0,21.9875,0.1301,169,1197.1625
19,0.5,2,69,18,0,26,Sollentuna,SWE,1987-01-01,,230,7,2005,Patric,71,8471887,0,1,Hornqvist,Patric Hornqvist,SWE,R,R,PIT,189,-3,37,0.5362,6,12,20182019,0,0,20.4637,0.0913,197,928.5797
53,0.484,4,81,20,1,16,Sternberk,CZE,1986-04-28,,63,2,2004,David,72,8471276,0,1,Krejci,David Krejci,CZE,C,R,BOS,188,7,73,0.9012,6,16,20182019,0,0,20.9753,0.1438,139,1060.6913
40,0.4516,4,77,33,1,27,Winnipeg,CAN,1992-05-13,MB,178,6,2010,Mark,76,8475913,0,1,Stone,Mark Stone,CAN,R,R,"OTT, VGK",219,17,73,0.948,6,20,20182019,1,1,23.1428,0.1658,199,1193.1168
29,0.4097,4,69,25,0,36,Everett,USA,1986-12-23,WA,24,1,2005,T.J.,71,8471698,0,1,Oshie,T.J. Oshie,USA,R,R,WSH,195,5,54,0.7826,6,14,20182019,1,1,20.6086,0.1748,143,1116.6666
30,0.4333,3,69,26,1,22,Burnsville,USA,1997-02-25,MN,23,1,2015,Brock,73,8478444,0,1,Boeser,Brock Boeser,USA,R,R,VAN,208,-2,56,0.8115,6,15,20182019,0,0,23.4927,0.1244,209,1149.826
37,0.4838,3,78,20,0,20,Mississauga,CAN,1997-03-07,ON,3,1,2015,Dylan,75,8478440,0,1,Strome,Dylan Strome,CAN,C,L,"ARI, CHI",200,-8,57,0.7307,6,16,20182019,0,0,19.3717,0.1379,145,969.2564
23,0.315,3,71,17,0,58,Swan River,CAN,1992-04-20,MB,133,5,2010,Micheal,73,8475907,0,1,Ferland,Micheal Ferland,CAN,L,L,CAR,217,13,40,0.5633,6,13,20182019,0,0,19.8028,0.1089,156,845.6901
43,0.463,3,81,27,0,22,Guelph,CAN,1989-03-28,ON,9,1,2007,Logan,73,8474053,0,1,Couture,Logan Couture,CAN,C,L,SJS,200,-6,70,0.8641,6,18,20182019,2,2,24.3209,0.1323,204,1115.6913
49,0.5685,5,82,28,2,12,Clinton,CAN,1991-02-07,ON,33,2,2009,Ryan,73,8475158,0,1,O'Reilly,Ryan O'Reilly,CAN,C,L,STL,216,22,77,0.939,6,22,20182019,1,3,25.6463,0.1196,234,1245.5243
39,0.5531,1,73,31,0,8,Haliburton,CAN,1991-01-16,ON,3,1,2009,Matt,71,8475168,0,1,Duchene,Matt Duchene,CAN,C,L,"OTT, CBJ",195,-3,70,0.9589,6,14,20182019,0,0,21.9315,0.1802,172,1130.0547
59,0.25,8,79,28,4,23,Korkino,RUS,1991-10-30,,,,,Artemi,71,8478550,0,1,Panarin,Artemi Panarin,RUS,L,R,CBJ,168,14,87,1.1012,6,18,20182019,0,0,22.9873,0.1465,191,1191.3924
10,0.0,1,32,12,0,21,Regina,CAN,1994-07-25,SK,7,1,2012,Matt,72,8476856,0,1,Dumba,Matt Dumba,CAN,D,R,MIN,182,-5,22,0.6875,6,12,20182019,0,0,24.9687,0.129,93,1402.5625
30,0.5522,3,82,23,0,30,Chur,CHE,1992-09-08,,5,1,2010,Nino,74,8475799,0,1,Niederreiter,Nino Niederreiter,CHE,R,L,"MIN, CAR",218,-4,53,0.6463,6,15,20182019,0,0,19.9634,0.125,184,973.5121
24,0.0,3,82,11,0,47,South St.Paul,USA,1992-03-20,MN,37,2,2010,Justin,72,8475753,0,1,Faulk,Justin Faulk,USA,D,R,CAR,217,9,35,0.4268,6,10,20182019,0,0,26.2195,0.0506,217,1345.4268
25,0.3541,2,69,18,1,27,Sundbyberg,SWE,1993-05-05,,30,1,2011,Rickard,73,8476483,0,1,Rakell,Rickard Rakell,SWE,L,R,ANA,202,-13,43,0.6231,6,13,20182019,0,0,22.1159,0.0927,194,1108.3623
36,0.3333,4,82,40,1,26,Omaha,USA,1994-10-06,NE,77,3,2013,Jake,71,8477404,0,1,Guentzel,Jake Guentzel,USA,L,L,PIT,180,13,76,0.9268,6,11,20182019,1,1,24.4878,0.1762,227,1161.0365
36,0.3157,2,78,30,2,55,Herisau,CHE,1996-10-08,,9,1,2015,Timo,72,8478414,0,1,Meier,Timo Meier,CHE,R,L,SJS,210,9,66,0.8461,6,10,20182019,0,1,22.1794,0.12,250,1018.3589
63,0.3333,8,82,36,3,24,Salem,USA,1993-08-13,NJ,103,4,2011,Johnny,69,8476346,0,1,Gaudreau,Johnny Gaudreau,USA,L,L,CGY,165,18,99,1.2073,6,27,20182019,0,0,23.4512,0.1469,245,1204.4512
13,0.2352,2,79,17,0,99,Scarborough,CAN,1988-08-26,ON,61,2,2007,Wayne,74,8474190,0,1,Simmonds,Wayne Simmonds,CAN,R,R,"PHI, NSH",185,-16,30,0.3797,5,8,20182019,0,0,19.367,0.1082,157,939.9746
18,0.3701,2,40,7,1,8,Madison,USA,1996-02-23,WI,20,1,2014,Nick,72,8477951,0,1,Schmaltz,Nick Schmaltz,USA,C,R,"CHI, ARI",177,-12,25,0.625,5,8,20182019,0,0,21.175,0.1129,62,1069.85
24,0.387,3,80,23,0,12,Pittsburgh,USA,1992-10-27,PA,43,2,2011,Brandon,73,8476438,0,1,Saad,Brandon Saad,USA,L,L,CHI,206,-9,47,0.5875,5,6,20182019,3,3,23.2875,0.1179,195,1061.3125
27,0.5816,3,80,19,1,20,Winnipeg,CAN,1985-05-13,MB,20,1,2004,Travis,74,8471233,0,1,Zajac,Travis Zajac,CAN,C,R,NJD,185,-25,46,0.575,5,12,20182019,2,2,22.725,0.1583,120,1156.25
15,0.3846,2,65,12,0,8,Greenwich,USA,1989-10-20,CT,7,1,2008,Colin,73,8474569,0,1,Wilson,Colin Wilson,USA,C,L,COL,221,-6,27,0.4153,5,7,20182019,0,0,18.1846,0.1153,104,813.7538
23,0.0,1,82,8,0,18,Denver,USA,1994-05-01,CO,120,4,2012,Jaccob,75,8476958,0,1,Slavin,Jaccob Slavin,USA,D,L,CAR,207,0,31,0.378,5,7,20182019,1,2,26.8658,0.0547,146,1382.2682
30,0.0,2,81,14,0,52,Karlskrona,SWE,1991-07-17,,6,1,2009,Oliver,74,8475171,0,1,Ekman-Larsson,Oliver Ekman-Larsson,SWE,D,L,ARI,200,-16,44,0.5432,5,19,20182019,1,3,27.5432,0.0795,176,1418.358
35,0.0,4,82,9,0,34,Lidkoping,SWE,2000-04-13,,1,1,2018,Rasmus,75,8480839,0,1,Dahlin,Rasmus Dahlin,SWE,D,L,BUF,190,-13,44,0.5365,5,20,20182019,0,0,23.2317,0.0508,177,1269.3292
34,0.3724,6,82,25,1,52,Cap-Rouge,CAN,1990-12-27,QC,,,,Jonathan,69,8476539,0,1,Marchessault,Jonathan Marchessault,CAN,C,R,VGK,174,2,59,0.7195,5,16,20182019,0,0,19.9634,0.0899,278,1088.7926
24,0.0,1,82,13,1,47,Windsor,CAN,1996-02-07,ON,1,1,2014,Aaron,76,8477932,0,1,Ekblad,Aaron Ekblad,CAN,D,R,FLA,220,1,37,0.4512,5,10,20182019,0,0,30.0975,0.0722,180,1418.6463
27,0.4743,2,71,14,1,24,Boston,USA,1997-01-30,MA,21,1,2015,Colin,72,8478400,0,1,White,Colin White,USA,C,R,OTT,183,-24,41,0.5774,5,8,20182019,0,0,20.4929,0.1138,123,971.9154
