blockedShots,giveaways,playerName,takeaways,hits
4,10,Michael McLeod,12,41
11,9,Vinni Lettieri,7,41
28,39,Eric Staal,49,41
59,30,Jacob Larsson,10,41
13,11,Ian McCoshen,5,41
12,18,Victor Rask,13,40
21,15,Denis Malgin,16,40
29,23,Brian Gibbons,26,40
8,10,Matt Hendricks,5,40
60,48,Sean Couturier,47,40
16,10,Chad Ruhwedel,7,40
48,12,Eric Fehr,32,40
71,27,Thomas Hickey,9,40
13,9,Connor Clifton,10,40
30,6,David Kampf,31,39
23,27,Tyler Toffoli,44,39
17,2,Josh Currie,3,39
7,18,Ryan Spooner,10,39
33,54,Reilly Smith,67,39
5,5,Clark Bishop,5,39
30,89,Connor McDavid,99,39
38,23,Gustav Forsling,15,38
47,17,Matt Roy,4,38
13,41,Thomas Vanek,20,38
74,32,Will Butcher,17,38
43,27,Jakob Silfverberg,27,38
47,46,Sam Reinhart,39,38
3,5,Carl Grundstrom,8,38
33,11,Chandler Stephenson,18,38
61,40,Dan Hamhuis,12,38
100,39,Nate Schmidt,45,37
8,14,Andrew Ladd,9,37
37,28,Joe Morrow,5,37
36,38,Joonas Donskoi,24,36
24,58,Sean Monahan,78,36
8,2,Blake Pietila,9,36
9,5,Justin Falk,1,36
22,24,Jesper Bratt,17,36
20,10,Dalton Prout,4,36
23,74,Gustav Nyquist,42,36
35,40,Jordan Eberle,34,36
14,32,Daniel Sprong,18,35
15,18,Paul Stastny,36,35
26,50,Alex DeBrincat,51,35
29,29,Andre Burakovsky,28,35
26,9,Chris Wideman,3,35
23,64,Teuvo Teravainen,55,35
6,5,Connor Brickley,3,35
37,17,Connor Brown,31,35
5,1,Brad Malone,1,35
4,10,Martin Frk,3,35
16,19,James van Riemsdyk,25,34
82,48,Maxime Lajoie,13,34
32,29,Alexander Wennberg,34,34
71,96,Miro Heiskanen,35,34
3,6,Jamie McGinn,4,34
59,23,J.T. Compher,23,33
26,47,Andreas Athanasiou,26,33
35,29,Carl Dahlstrom,9,33
13,6,Brandon Sutter,8,33
18,20,Boo Nieves,12,33
33,39,Evan Rodrigues,34,33
42,59,Evgenii Dadonov,45,33
17,10,Conor Garland,25,33
21,12,Matthew Peca,12,33
31,19,Matt Cullen,24,32
33,29,Anthony Duclair,33,32
21,18,Jack Roslovic,25,32
29,30,Jaycob Megna,11,32
91,43,Cam Fowler,24,32
51,12,Ryan Graves,5,32
30,10,Xavier Ouellet,5,32
20,15,Rocco Grimaldi,27,32
53,18,Kevin Gravel,7,31
36,33,Ryan O'Reilly,94,31
43,25,Brayden Point,35,31
24,39,Jeff Skinner,56,31
9,1,Luke Johnson,6,31
44,20,Jonas Siegenthaler,3,31
18,10,Greg McKegg,14,30
8,4,Robby Fabbri,5,30
16,39,Casey Mittelstadt,31,30
5,9,Max Jones,12,30
95,27,Andrew MacDonald,3,30
54,61,Chris Tierney,53,30
3,4,Remi Elie,3,30
56,36,Mark Jankowski,49,30
45,20,David Schlemko,4,29
43,67,Mitchell Marner,78,29
122,32,Christopher Tanev,20,29
9,9,Lukas Radil,14,29
32,18,Sven Andrighetto,22,29
7,4,Jori Lehtera,6,29
29,31,Conor Sheary,35,29
2,4,Scott Wilson,4,29
21,46,Filip Chytil,25,29
13,11,Brandon Pirri,14,29
26,19,Jordan Weal,20,28
44,36,Mattias Janmark,30,28
40,68,Matt Duchene,50,28
24,44,David Krejci,54,28
12,5,Mason Appleton,4,28
60,67,Auston Matthews,57,28
15,19,Michael Grabner,31,28
19,48,Claude Giroux,46,28
24,38,Marcus Johansson,27,28
19,43,Ilya Kovalchuk,21,28
4,3,Nick Paul,5,28
61,69,Aleksander Barkov,100,28
3,4,Max Comtois,2,27
91,59,Shea Theodore,82,27
16,17,Nikolaj Ehlers,28,27
16,6,Michael Stone,6,27
93,30,Ryan Murray,22,27
25,45,Cam Atkinson,47,27
4,12,Kurtis MacDermid,0,26
6,15,Valentin Zykov,9,26
37,17,Connor Carrick,15,25
41,27,Justin Schultz,5,25
33,14,Artem Anisimov,50,25
21,6,Haydn Fleury,3,25
17,10,Ashton Sautner,3,25
16,5,Patrik Berglund,6,25
18,9,Frederick Gaudreau,13,25
56,117,Mathew Barzal,66,25
15,26,Kyle Turris,19,24
1,0,Nathan Bastian,1,24
70,40,Nick Bonino,30,24
1,5,Eric Robinson,1,24
21,22,Ryan Donato,30,24
30,12,Jan Rutta,1,24
30,28,Devon Toews,14,24
35,38,Colin White,21,23
9,5,Denis Gurianov,2,23
19,11,Phil Varone,5,23
114,51,Marc-Edouard Vlasic,24,23
7,0,Jonny Brodzinski,3,23
4,0,Jordan Nolan,1,22
29,39,Taylor Hall,31,22
29,30,Alexander Kerfoot,22,22
4,7,Joel L'Esperance,6,22
86,100,TJ Brodie,68,21
21,25,Martin Marincin,11,21
18,54,Patrick Kane,42,21
14,11,Corey Perry,12,21
95,57,Victor Mete,10,21
7,20,Sam Gagner,5,21
16,6,Eric Gryba,4,21
12,7,Jean-Sebastien Dea,13,21
43,14,Juuso Valimaki,9,21
7,3,Alexandre Fortin,9,21
7,4,John Quenneville,5,21
6,3,Max McCormick,1,21
18,5,Zach Trotman,2,20
4,5,Vladislav Kamenev,2,20
18,17,Caleb Jones,13,20
33,14,Lawrence Pilut,7,20
5,1,A.J. Greer,4,20
19,54,Derek Ryan,54,19
7,2,Dylan McIlrath,2,19
58,37,Taylor Fedun,14,19
9,4,Ben Street,4,19
32,80,Josh Bailey,41,19
50,50,Dennis Cholowski,7,18
23,37,Viktor Arvidsson,41,18
11,6,Kailer Yamamoto,3,18
20,20,Jason Pominville,13,18
5,10,Libor Sulak,3,18
24,15,Rudolfs Balcers,11,18
13,6,Sven Baertschi,10,18
28,22,Christian Djoos,10,18
6,1,Tanner Fritz,1,18
3,2,Trent Frederic,5,18
28,14,Brad Hunt,22,18
13,1,Nate Prosser,1,17
15,3,Brandon Davidson,2,17
11,18,Ondrej Kase,15,17
14,42,Joe Thornton,43,17
7,3,Luca Sbisa,1,17
27,7,Joe Hicketts,2,17
29,58,Jakub Voracek,32,17
21,13,Andrej Sekera,6,17
21,12,Drake Batherson,7,17
19,12,Matt Luff,4,17
17,4,Chris Butler,3,17
13,13,Michael Amadio,19,16
31,27,Julius Honka,4,16
16,9,Joel Hanley,3,16
14,25,William Nylander,28,16
0,2,Erik Burgdoerfer,0,16
21,5,Dean Kukan,4,16
3,2,Nick Lappin,3,16
3,2,Marko Dano,3,16
31,23,Tim Heed,11,16
7,14,Christian Dvorak,12,16
21,37,Clayton Keller,46,16
30,53,Jason Spezza,26,16
15,5,Jeremy Lauzon,4,15
2,1,Sam Carrick,1,15
10,2,Marc Methot,0,15
21,33,Nikolay Goldobin,20,15
46,9,Tom Pyatt,4,15
7,9,Trevor Moore,8,15
3,3,Timothy Gettinger,0,15
3,1,Rourke Chartier,0,14
4,3,Martin Hanzal,2,14
0,0,Nicolas Aube-Kubel,2,14
17,56,Artemi Panarin,31,14
3,4,Andrew Agozzino,1,14
1,3,Patrick Eaves,1,14
22,33,Brock Boeser,40,14
9,4,Jakob Forsbacka Karlsson,9,14
2,2,Stephen Gionta,0,14
2,5,Alan Quine,3,14
5,2,Joseph Gambardella,5,14
53,43,Trevor Daley,10,14
5,2,Cody Goloubef,0,13
23,5,Jason Garrison,2,13
21,15,Travis Boyd,14,13
46,34,Dylan Strome,47,13
3,2,Gemel Smith,5,13
22,30,Robert Thomas,36,13
1,0,Dylan Gambrell,5,13
27,24,Dominik Kahun,32,13
14,8,Mark Barberio,3,13
10,6,Karl Alzner,1,13
32,10,Mikko Koivu,35,13
0,0,Ryan Lomberg,1,12
3,0,William Borgen,0,12
34,27,Valtteri Filppula,36,12
12,124,Johnny Gaudreau,58,12
1,1,Danick Martel,3,12
22,19,Egor Yakovlev,3,12
