"assists","faceoffWinPctg","gameWinningGoals","gamesPlayed","goals","otGoals","penaltyMinutes","playerBirthCountry","playerBirthYear","playerDraftRoundNo","playerHeight","Player","playerPositionCode","playerShootsCatches","playerWeight","plusMinus","points","pointsPerGame","ppGoals","ppPoints","shGoals","shPoints","shiftsPerGame","shootingPctg","shots","timeOnIcePerGame","playerDrafted","Forward","LeftHand","blockedShots","giveaways","takeaways","hits","Tm","Salary","Cap.Hit"
14,0.553,2,69,11,0,6,"USA",1994,4,73,"Andrew Copp","C","L",206,20,25,0.3623,0,0,1,1,17.6086,0.1341,82,729.6231,1,1,1,34,27,22,71,"WPG",1.1,1e+06
10,0.4444,0,61,7,0,20,"CAN",1987,5,72,"Darren Helm","L","L",196,-11,17,0.2786,0,0,1,4,20.7213,0.0654,107,874.459,1,1,1,26,30,33,50,"DET",3.75,3850000
10,0.3545,0,59,5,0,15,"CAN",1989,4,72,"Colton Sceviour","C","R",192,-2,15,0.2542,0,1,0,0,17.8813,0.0431,116,737.7118,1,1,0,58,24,18,89,"FLA",1.2,1200000
5,0,0,38,1,0,13,"USA",1992,NA,73,"Casey Nelson","D","R",185,1,6,0.1578,0,0,0,0,19.7894,0.027,37,924.5526,0,0,0,36,19,5,44,"BUF",0.8,812500
4,0.4934,1,41,6,0,15,"USA",1993,NA,74,"Kevin Rooney","C","L",190,-4,10,0.2439,0,0,1,1,18,0.1538,39,756.7804,0,1,1,22,9,15,77,"NJD",0.7,7e+05
4,0,0,40,0,0,33,"CAN",1989,1,72,"Thomas Hickey","D","L",183,5,4,0.1,0,0,0,1,25.275,0,47,1110.3,1,0,1,71,27,9,40,"NYI",2.5,2500000
8,0.4808,2,74,4,0,30,"SWE",1990,5,72,"Marcus Kruger","C","L",186,-2,12,0.1621,0,0,0,1,16.6351,0.054,74,624.9054,1,1,1,34,11,17,51,"CHI",2.07,2775000
15,0,0,79,4,0,68,"USA",1992,2,77,"Scott Mayfield","D","R",223,18,19,0.2405,0,0,1,1,23.8987,0.0384,104,1124.0632,1,0,0,159,72,10,118,"NYI",1.1,1450000
11,0.3421,0,64,8,0,20,"USA",1988,NA,68,"Brian Gibbons","L","L",175,-5,19,0.2968,0,0,0,0,16.2031,0.16,50,655.0781,0,1,1,29,23,26,40,"OTT",1,1e+06
14,0,0,78,2,0,35,"USA",1987,7,74,"Justin Braun","D","R",205,-14,16,0.2051,0,1,0,0,25.0897,0.019,105,1218.3974,1,0,0,120,51,34,121,"SJS",3.8,3800000
4,0,0,37,2,0,9,"SWE",1992,5,73,"Fredrik Claesson","D","L",196,3,6,0.1621,0,0,0,1,22.6216,0.0454,44,1034.8918,1,0,1,33,31,9,76,"NYR",0.7,7e+05
13,0.5,2,71,7,0,14,"USA",1976,2,73,"Matt Cullen","C","L",202,6,20,0.2816,0,0,2,4,18.4084,0.0804,87,690.5774,1,1,1,31,19,24,32,"PIT",0.65,650000
2,0.4942,0,47,4,0,10,"CZE",1993,6,72,"Lukas Sedlak","C","L",205,-5,6,0.1276,0,0,0,0,13.1914,0.093,43,539.9361,1,1,1,20,8,6,69,"CBJ",0.85,825000
4,0.5555,2,79,12,0,26,"SWE",1990,NA,72,"Melker Karlsson","C","R",180,-1,16,0.2025,0,0,0,0,17.7848,0.1518,79,689.9746,0,1,0,39,19,30,67,"SJS",2,2e+06
11,0,3,57,6,0,31,"CAN",1994,4,74,"Brett Kulak","D","L",187,12,17,0.2982,0,0,1,1,22.3684,0.0588,102,1070.5789,1,0,1,64,43,15,107,"MTL",0.9,9e+05
